area_number,location
001,New Hampshire
002,New Hampshire
003,New Hampshire
004,Maine
005,Maine
006,Maine
007,Maine
008,Vermont
009,Vermont
010,Massachusetts
011,Massachusetts
012,Massachusetts
013,Massachusetts
014,Massachusetts
015,Massachusetts
016,Massachusetts
017,Massachusetts
018,Massachusetts
019,Massachusetts
020,Massachusetts
021,Massachusetts
022,Massachusetts
023,Massachusetts
024,Massachusetts
025,Massachusetts
026,Massachusetts
027,Massachusetts
028,Massachusetts
029,Massachusetts
030,Massachusetts
031,Massachusetts
032,Massachusetts
033,Massachusetts
034,Massachusetts
035,Rhode Island
036,Rhode Island
037,Rhode Island
038,Rhode Island
039,Rhode Island
040,Connecticut
041,Connecticut
042,Connecticut
043,Connecticut
044,Connecticut
045,Connecticut
046,Connecticut
047,Connecticut
048,Connecticut
049,Connecticut
050,New York
051,New York
052,New York
053,New York
054,New York
055,New York
056,New York
057,New York
058,New York
059,New York
060,New York
061,New York
062,New York
063,New York
064,New York
065,New York
066,New York
067,New York
068,New York
069,New York
070,New York
071,New York
072,New York
073,New York
074,New York
075,New York
076,New York
077,New York
078,New York
079,New York
080,New York
081,New York
082,New York
083,New York
084,New York
085,New York
086,New York
087,New York
088,New York
089,New York
090,New York
091,New York
092,New York
093,New York
094,New York
095,New York
096,New York
097,New York
098,New York
099,New York
100,New York
101,New York
102,New York
103,New York
104,New York
105,New York
106,New York
107,New York
108,New York
109,New York
110,New York
111,New York
112,New York
113,New York
114,New York
115,New York
116,New York
117,New York
118,New York
119,New York
120,New York
121,New York
122,New York
123,New York
124,New York
125,New York
126,New York
127,New York
128,New York
129,New York
130,New York
131,New York
132,New York
133,New York
134,New York
135,New Jersey
136,New Jersey
137,New Jersey
138,New Jersey
139,New Jersey
140,New Jersey
141,New Jersey
142,New Jersey
143,New Jersey
144,New Jersey
145,New Jersey
146,New Jersey
147,New Jersey
148,New Jersey
149,New Jersey
150,New Jersey
151,New Jersey
152,New Jersey
153,New Jersey
154,New Jersey
155,New Jersey
156,New Jersey
157,New Jersey
158,New Jersey
159,Pennsylvania
160,Pennsylvania
161,Pennsylvania
162,Pennsylvania
163,Pennsylvania
164,Pennsylvania
165,Pennsylvania
166,Pennsylvania
167,Pennsylvania
168,Pennsylvania
169,Pennsylvania
170,Pennsylvania
171,Pennsylvania
172,Pennsylvania
173,Pennsylvania
174,Pennsylvania
175,Pennsylvania
176,Pennsylvania
177,Pennsylvania
178,Pennsylvania
179,Pennsylvania
180,Pennsylvania
181,Pennsylvania
182,Pennsylvania
183,Pennsylvania
184,Pennsylvania
185,Pennsylvania
186,Pennsylvania
187,Pennsylvania
188,Pennsylvania
189,Pennsylvania
190,Pennsylvania
191,Pennsylvania
192,Pennsylvania
193,Pennsylvania
194,Pennsylvania
195,Pennsylvania
196,Pennsylvania
197,Pennsylvania
198,Pennsylvania
199,Pennsylvania
200,Pennsylvania
201,Pennsylvania
202,Pennsylvania
203,Pennsylvania
204,Pennsylvania
205,Pennsylvania
206,Pennsylvania
207,Pennsylvania
208,Pennsylvania
209,Pennsylvania
210,Pennsylvania
211,Pennsylvania
212,Maryland
213,Maryland
214,Maryland
215,Maryland
216,Maryland
217,Maryland
218,Maryland
219,Maryland
220,Maryland
221,Delaware
222,Delaware
223,Virginia
224,Virginia
225,Virginia
226,Virginia
227,Virginia
228,Virginia
229,Virginia
230,Virginia
231,Virginia
232,North Carolina
232,West Virginia
233,West Virginia
234,West Virginia
