date,area_number,highest_group_number,changed
06/24/11,001,11,
06/24/11,002,11,
06/24/11,003,08,
06/24/11,004,13,
06/24/11,005,13,x
06/24/11,006,11,
06/24/11,007,11,
06/24/11,008,94,
06/24/11,009,94,x
06/24/11,010,94,
06/24/11,011,94,
06/24/11,012,94,
06/24/11,013,94,
06/24/11,014,94,
06/24/11,015,94,
06/24/11,016,94,
06/24/11,017,94,
06/24/11,018,94,
06/24/11,019,94,
06/24/11,020,94,
06/24/11,021,94,x
06/24/11,022,92,
06/24/11,023,92,
06/24/11,024,92,
06/24/11,025,92,
06/24/11,026,92,
06/24/11,027,92,
06/24/11,028,92,
06/24/11,029,92,
06/24/11,030,92,
06/24/11,031,92,
06/24/11,032,92,
06/24/11,033,92,
06/24/11,034,92,
06/24/11,035,74,
06/24/11,036,74,
06/24/11,037,74,
06/24/11,038,74,
06/24/11,039,74,
06/24/11,040,15,
06/24/11,041,15,
06/24/11,042,15,
06/24/11,043,15,
06/24/11,044,15,
06/24/11,045,15,
06/24/11,046,15,
06/24/11,047,15,
06/24/11,048,15,
06/24/11,049,15,x
06/24/11,050,02,
06/24/11,051,02,
06/24/11,052,02,
06/24/11,053,02,
06/24/11,054,02,
06/24/11,055,02,
06/24/11,056,02,
06/24/11,057,02,
06/24/11,058,02,
06/24/11,059,02,
06/24/11,060,02,
06/24/11,061,02,
06/24/11,062,02,
06/24/11,063,02,
06/24/11,064,02,
06/24/11,065,02,
06/24/11,066,02,
06/24/11,067,02,
06/24/11,068,02,
06/24/11,069,02,
06/24/11,070,02,
06/24/11,071,02,
06/24/11,072,02,
06/24/11,073,02,
06/24/11,074,02,
06/24/11,075,02,
06/24/11,076,02,
06/24/11,077,02,
06/24/11,078,02,
06/24/11,079,02,
06/24/11,080,02,
06/24/11,081,02,
06/24/11,082,02,
06/24/11,083,02,
06/24/11,084,02,
06/24/11,085,02,
06/24/11,086,02,
06/24/11,087,02,
06/24/11,088,02,
06/24/11,089,02,
06/24/11,090,02,
06/24/11,091,02,
06/24/11,092,02,
06/24/11,093,02,
06/24/11,094,02,
06/24/11,095,02,
06/24/11,096,02,
